PDB_Chain,Prediction,Curated_Annotation
3F69_B,Inactive,None
3F6X_A,Active,None
3F6X_B,Active,None
3F6X_C,Active,None
3F6X_D,Active,None
3F7Z_A,Active,Active
3F7Z_B,Active,Active
3F82_A,Inactive,Inactive
3F88_A,Active,Active
3F88_B,Active,Active
3F9N_A,Active,Active
3FAA_A,Active,None
3FAA_B,Active,None
3FAA_C,Active,None
3FAA_D,Active,None
3FAA_E,Active,None
3FBV_A,Active,None
3FBV_B,Active,None
3FBV_C,Active,None
3FBV_D,Active,None
3FBV_E,Active,None
3FBV_F,Active,None
3FBV_G,Active,None
3FBV_H,Active,None
3FBV_I,Active,None
3FBV_J,Active,None
3FBV_K,Active,None
3FBV_L,Active,None
3FBV_M,Active,None
3FBV_N,Active,None
3FC1_X,Inactive,Inactive
3FC2_A,Active,Active
3FDN_A,Inactive,Inactive
3FE3_A,Inactive,Inactive
3FE3_B,Inactive,Inactive
3FHI_A,Active,Active
3FHR_A,Active,None
3FI2_A,Inactive,Inactive
3FI3_A,Inactive,Inactive
3FI4_A,Inactive,Inactive
3FJQ_E,Active,Active
3FKL_A,Inactive,Inactive
3FKN_A,Inactive,Inactive
3FKO_A,Inactive,Inactive
3FL4_A,Inactive,Inactive
3FL5_A,Active,Active
3FLN_C,Inactive,Inactive
3FLQ_A,Inactive,None
3FLS_A,Inactive,Inactive
3FLW_A,Inactive,Inactive
3FLY_A,Inactive,Inactive
3FLZ_A,Inactive,Inactive
3FMD_A,Inactive,None
3FME_A,Inactive,Inactive
3FMH_A,Inactive,Inactive
3FMJ_A,Inactive,Inactive
3FMK_A,Inactive,Inactive
3FML_A,Inactive,None
3FMM_A,Inactive,Inactive
3FMN_A,Inactive,Inactive
3FPM_A,Active,None
3FPQ_A,Inactive,Inactive
3FPQ_B,Inactive,Inactive
3FQE_A,Active,Active
3FQH_A,Active,Active
3FQH_B,Active,Active
3FQS_A,Active,Active
3FSF_A,Inactive,Inactive
3FSK_A,Inactive,Inactive
3FUP_A,Active,Active
3FUP_B,Active,Active
3FV8_A,Inactive,Inactive
3FWQ_A,Active,Active
3FWQ_B,Active,Active
3FXW_A,Active,None
3FXX_A,Active,None
3FXZ_A,Active,None
3FY0_A,Active,None
3FY2_A,Active,None
3FYJ_X,Active,None
3FYK_X,Active,None
3FZ1_A,Inactive,Inactive
3FZO_A,Inactive,Inactive
3FZP_A,Inactive,Inactive
3FZR_A,Inactive,Inactive
3FZS_A,Inactive,Inactive
3FZT_A,Inactive,Inactive
3G0E_A,Inactive,Inactive
3G0F_A,Inactive,Inactive
3G0F_B,Inactive,Inactive
3G2F_A,Active,Active
3G2F_B,Active,None
3G33_A,Inactive,Inactive
3G33_C,Inactive,Inactive
3G51_A,Inactive,Inactive
3G5D_A,Active,None
3G5D_B,Active,None
3G6G_A,Inactive,Inactive
3G6G_B,Inactive,Inactive
3G6H_A,Active,None
3G6H_B,Inactive,Inactive
3G90_X,Inactive,Inactive
3G9L_X,Inactive,Inactive
3G9N_A,Inactive,Inactive
3GB2_A,Active,Active
3GBZ_A,Inactive,None
3GC0_A,Inactive,None
3GC7_A,Inactive,None
3GC8_A,Inactive,None
3GC8_B,Inactive,Inactive
3GC9_A,Inactive,Inactive
3GC9_B,Inactive,Inactive
3GCP_A,Inactive,Inactive
3GCQ_A,Inactive,Inactive
3GCS_A,Inactive,Inactive
3GCU_A,Inactive,Inactive
3GCU_B,Inactive,Inactive
3GCV_A,Inactive,Inactive
3GEN_A,Inactive,Inactive
3GEQ_A,Active,None
3GEQ_B,Active,None
3GFE_A,Inactive,None
3GFW_A,Inactive,Inactive
3GGF_A,Inactive,Inactive
3GGF_B,Inactive,Inactive
3GI3_A,Inactive,Inactive
3GNI_B,Active,None
3GOK_A,Active,None
3GOK_B,Active,None
3GOK_C,Active,None
3GOK_D,Active,None
3GOK_E,Active,None
3GOK_F,Active,None
3GOK_G,Active,None
3GOK_H,Active,None
3GOK_I,Active,None
3GOK_J,Active,None
3GOK_K,Active,None
3GOK_L,Active,None
3GOP_A,Inactive,Inactive
3GP0_A,Inactive,Inactive
3GQI_A,Active,Active
3GQL_A,Inactive,Inactive
3GQL_B,Inactive,Inactive
3GQL_C,Inactive,Inactive
3GT8_A,Inactive,Inactive
3GT8_B,Inactive,Inactive
3GT8_C,Inactive,Inactive
3GT8_D,Inactive,Inactive
3GU4_A,Active,Active
3GU5_A,Active,Active
3GU6_A,Active,Active
3GU7_A,Active,Active
3GU8_A,Active,Active
3GUB_A,Active,Active
3GVU_A,Inactive,Inactive
3GXL_A,Active,None
3H0Y_A,Inactive,Inactive
3H0Z_A,Inactive,Inactive
3H0Z_B,Inactive,Inactive
3H0Z_C,Inactive,Inactive
3H10_A,Inactive,Inactive
3H10_B,Inactive,Inactive
3H10_D,Inactive,Inactive
3H30_A,Active,Active
3H30_B,Active,Active
3H3C_A,Inactive,Inactive
3H4J_A,Inactive,None
3H4J_B,Inactive,None
3H9F_A,Inactive,Inactive
3H9O_A,Active,None
3H9R_A,Active,None
3HA6_A,Active,Active
3HA8_A,Inactive,Inactive
3HDM_A,Inactive,Inactive
3HDN_A,Inactive,Inactive
3HEC_A,Inactive,Inactive
3HEG_A,Inactive,Inactive
3HGK_A,Active,None
3HGK_B,Active,None
3HGK_C,Active,None
3HGK_D,Active,None
3HKO_A,Active,None
3HL7_A,Inactive,Inactive
3HLL_A,Inactive,Inactive
3HMI_A,Inactive,Inactive
3HMM_A,Active,None
3HMN_A,Inactive,Inactive
3HMO_A,Inactive,Inactive
3HMP_A,Inactive,Inactive
3HNG_A,Inactive,Inactive
3HP2_A,Inactive,Inactive
3HP5_A,Inactive,Inactive
3HRB_A,Inactive,None
3HRC_A,Active,Active
3HRF_A,Active,Active
3HUB_A,Inactive,Inactive
3HUC_A,Inactive,Inactive
3HV3_A,Inactive,Inactive
3HV4_A,Inactive,Inactive
3HV4_B,Inactive,Inactive
3HV5_A,Inactive,Inactive
3HV5_B,Inactive,Inactive
3HV6_A,Inactive,Inactive
3HV7_A,Inactive,Inactive
3HVC_A,Inactive,Inactive
3HX4_A,Active,None
3HYH_A,Inactive,None
3HYH_B,Inactive,None
3HZT_A,Inactive,None
3I4B_A,Active,Active
3I4B_B,Active,Active
3I5N_A,Inactive,Inactive
3I5Z_A,Active,None
3I60_A,Active,None
3I6U_A,Inactive,Inactive
3I6U_B,Inactive,Inactive
3I6W_A,Inactive,Inactive
3I6W_B,Inactive,Inactive
3I6W_C,Inactive,Inactive
3I6W_D,Inactive,Inactive
3I6W_E,Inactive,Inactive
3I6W_F,Inactive,Inactive
3I6W_G,Inactive,Inactive
3I6W_H,Inactive,Inactive
3I79_A,Inactive,None
3I7B_A,Inactive,None
3I7C_A,Inactive,None
3I81_A,Inactive,Inactive
3IDB_A,Active,None
3IDC_A,Active,None
3IDP_A,Inactive,Inactive
3IDP_B,Inactive,Inactive
3IEC_A,Active,Active
3IEC_B,Active,Active
3IEC_C,Active,Active
3IEC_D,Active,Active
3IG7_A,Inactive,Inactive
3IGG_A,Inactive,Inactive
3IGO_A,Inactive,None
3II5_A,Inactive,Inactive
3II5_B,Inactive,Inactive
3IK3_A,Inactive,Inactive
3IK3_B,Inactive,Inactive
3IKA_A,Active,Active
3IKA_B,Inactive,Inactive
3IO7_A,Active,Active
3IOK_A,Active,Active
3ION_A,Active,None
3IOP_A,Active,None
3IPH_A,Inactive,Inactive
3IQ7_A,Inactive,None
3IS5_A,Inactive,None
3IS5_B,Inactive,None
3IS5_C,Inactive,None
3IS5_D,Inactive,None
3IS5_E,Inactive,None
3IS5_F,Inactive,None
3ITZ_A,Inactive,None
3IW4_A,Active,Active
3IW4_B,Active,Active
3IW4_C,Active,Active
3IW5_A,Inactive,Inactive
3IW6_A,Inactive,Inactive
3IW7_A,Inactive,Inactive
3IW8_A,Inactive,Inactive
3J4Q_D,Active,None
3J4Q_E,Active,None
3J4R_D,Active,None
3J4R_E,Active,None
3JPV_A,Active,Active
3JS2_A,Inactive,None
3JS2_B,Inactive,None
3JUH_A,Active,Active
3JUH_B,Active,Active
3JVR_A,Active,Active
3JVS_A,Active,Active
3JXW_A,Active,Active
3JY0_A,Active,Active
3JY9_A,Active,Active
3JYA_A,Active,Active
3K2L_A,Active,Active
3K3I_A,Inactive,Inactive
3K3J_A,Inactive,Inactive
3K54_A,Inactive,Inactive
3K5U_A,Inactive,Inactive
3K5V_A,Inactive,Inactive
3K5V_B,Inactive,Inactive
3KA0_A,Active,None
3KB7_A,Active,Active
3KC3_A,Active,None
3KC3_B,Active,None
3KC3_C,Active,None
3KC3_D,Active,None
3KC3_E,Active,None
3KC3_F,Active,None
3KC3_G,Active,None
3KC3_H,Active,None
3KC3_I,Active,None
3KC3_J,Active,None
3KC3_K,Active,None
3KC3_L,Active,None
3KCF_A,Active,None
3KCF_B,Active,None
3KCF_C,Active,None
3KCF_D,Active,None
3KCF_E,Active,None
3KCK_A,Active,Active
3KEX_A,Inactive,Inactive
3KEX_B,Inactive,Inactive
3KF4_A,Active,None
3KF4_B,Active,None
3KF7_A,Inactive,Inactive
3KFA_A,Inactive,Inactive
3KFA_B,Inactive,Inactive
3KGA_A,Active,None
3KK8_A,Active,Active
3KK9_A,Active,Active
3KKV_A,Active,Active
3KL8_A,Active,Active
3KL8_C,Active,Active
3KL8_E,Active,Active
3KL8_G,Active,Active
3KL8_I,Active,Active
3KMM_A,Active,Active
3KMU_A,Inactive,None
3KMW_A,Inactive,None
3KN5_A,Active,None
3KN5_B,Active,None
3KN6_A,Active,None
3KN6_B,Active,None
3KQ7_A,Inactive,Inactive
3KRJ_A,Inactive,Inactive
3KRL_A,Inactive,Inactive
3KRR_A,Active,Active
3KRW_A,Active,None
3KRX_A,Active,None
3KU2_A,Inactive,None
3KUL_A,Active,None
3KUL_B,Active,Active
3KVW_A,Active,Active
3KVX_A,Inactive,Inactive
3KXG_A,Active,Active
3KXH_A,Active,Active
3KXM_A,Active,Active
3KXN_A,Active,Active
3KXX_A,Active,Active
3KXX_B,Active,Active
3KXX_C,Active,Active
3KXX_D,Active,Active
3KXZ_A,Active,Active
3KY2_A,Inactive,None
3KY2_B,Inactive,None
3L1S_A,Active,Active
3L1S_B,Active,Active
3L8P_A,Inactive,Inactive
3L8S_A,Inactive,Inactive
3L8V_A,Inactive,Inactive
3L8X_A,Inactive,Inactive
3L9L_A,Active,Active
3L9L_B,Active,Active
3L9M_A,Active,Active
3L9M_B,Active,Active
3L9N_A,Active,Active
3L9P_A,Active,None
3LAU_A,Inactive,Inactive
3LCD_A,Active,Active
3LCK_A,Active,Active
3LCO_A,Inactive,Inactive
3LCS_A,Active,Active
3LCT_A,Active,None
3LE6_A,Inactive,Inactive
3LFA_A,Inactive,Inactive
3LFB_A,Inactive,Inactive
3LFC_A,Inactive,Inactive
3LFD_A,Inactive,Inactive
3LFE_A,Inactive,Inactive
3LFF_A,Inactive,Inactive
3LFN_A,Inactive,Inactive
3LFQ_A,Inactive,Inactive
3LFS_A,Inactive,Inactive
3LHJ_A,Inactive,Inactive
3LIJ_A,Active,None
3LJ0_A,Active,None
3LJ0_B,Active,None
3LJ1_A,Active,None
3LJ1_B,Active,None
3LJ2_A,Active,None
3LJ2_B,Active,None
3LLT_A,Active,None
3LM0_A,Active,None
3LM5_A,Active,None
3LMG_A,Inactive,Inactive
3LMG_B,Inactive,Inactive
3LOK_A,Inactive,Inactive
3LOK_B,Inactive,Inactive
3LPB_A,Active,Active
3LPB_B,Active,Active
3LQ5_A,Active,Active
3LQ8_A,Inactive,Inactive
3LVP_A,Inactive,Active
3LVP_B,Active,Active
3LVP_C,Active,Active
3LVP_D,Active,Active
3LW0_A,Inactive,Inactive
3LW0_B,Inactive,Inactive
3LW0_C,Inactive,Inactive
3LW0_D,Inactive,Inactive
3LXK_A,Active,Active
3LXL_A,Active,Active
3LXN_A,Active,Active
3LXP_A,Active,Active
3LZB_A,Inactive,Inactive
3LZB_B,Inactive,Inactive
3LZB_C,Inactive,Inactive
3LZB_D,Inactive,Inactive
3M11_A,Active,None
3M1S_A,Active,Active
3M1S_B,Active,Active
3M2W_A,Active,None
3M42_A,Active,None
3MA3_A,Active,Active
3MA6_A,Inactive,None
3MA6_B,Inactive,None
3MB6_A,Active,Active
3MB7_A,Active,Active
3MBL_A,Inactive,Inactive
3MDY_A,Active,None
3MDY_C,Active,None
3MFR_A,Active,Active
3MFS_A,Active,Active
3MFT_A,Active,Active
3MFU_A,Active,Active
3MGY_A,Inactive,Inactive
3MH0_A,Inactive,Inactive
3MH1_A,Inactive,Inactive
3MH2_A,Inactive,Inactive
3MH3_A,Inactive,Inactive
3MI9_A,Active,Active
3MIA_A,Active,Active
3MIY_A,Inactive,Inactive
3MIY_B,Inactive,Inactive
3MJ1_A,Inactive,Inactive
3MJ2_A,Inactive,Inactive
3MN3_A,Inactive,None
3MPA_A,Inactive,Inactive
3MPM_A,Inactive,None
3MPT_A,Inactive,Inactive
3MS9_A,Inactive,Inactive
3MS9_B,Inactive,Inactive
3MSS_A,Inactive,Inactive
3MSS_B,Inactive,Inactive
3MSS_C,Inactive,Inactive
3MSS_D,Inactive,Inactive
3MTF_A,Active,None
3MTF_B,Active,None
3MTL_A,Inactive,Inactive
3MV5_A,Active,Active
3MVH_A,Active,Active
3MVJ_A,Active,Active
3MVJ_B,Active,Active
3MVJ_E,Active,Active
3MVL_A,Inactive,Inactive
3MVL_B,Inactive,Inactive
3MVM_A,Inactive,Inactive
3MVM_B,Inactive,Inactive
3MW1_A,Inactive,Inactive
3MWU_A,Inactive,None
3MY0_A,Active,None
3MY0_B,Active,None
3MY0_C,Active,None
3MY0_D,Active,None
3MY0_E,Active,None
3MY0_F,Active,None
3MY0_G,Active,None
3MY0_H,Active,None
3MY0_I,Active,None
3MY0_J,Active,None
3MY0_K,Active,None
3MY0_L,Active,None
3MY0_M,Active,None
3MY0_N,Active,None
3MY0_O,Active,None
3MY0_P,Active,None
3MY0_Q,Active,None
3MY0_R,Active,None
3MY0_S,Active,None
3MY0_T,Active,None
3MY0_U,Active,None
3MY0_V,Active,None
3MY0_W,Active,None
3MY0_X,Active,None
3MY1_A,Active,Active
3MY5_A,Active,Active
3MY5_C,Active,Active
3MYG_A,Active,None
3N51_A,Inactive,None
3N9X_A,Active,None
3N9X_B,Active,None
3NAX_A,Inactive,Inactive
3NAY_A,Active,None
3NAY_B,Active,None
3NCG_A,Inactive,None
3NCZ_A,Active,Active
3NCZ_B,Active,Active
3NCZ_C,Active,Active
3NCZ_D,Active,Active
3NDM_A,Active,Active
3NDM_B,Active,Active
3NDM_C,Active,Active
3NDM_D,Active,Active
3NEW_A,Inactive,Inactive
3NGA_A,Active,Active
3NGA_B,Active,Active
3NIE_A,Active,None
3NIE_B,Active,None
3NIZ_A,Active,None
3NLB_A,Active,Active
3NNU_A,Inactive,Inactive
3NNV_A,Inactive,Inactive
3NNW_A,Inactive,Inactive
3NNX_A,Inactive,Inactive
3NPC_A,Inactive,Inactive
3NPC_B,Inactive,Inactive
3NR9_A,Active,Active
3NR9_B,Active,Active
3NR9_C,Active,Active
3NRM_A,Active,Active
3NS9_A,Inactive,Inactive
3NSZ_A,Active,Active
3NUN_A,Active,None
3NUP_A,Inactive,Inactive
3NUS_A,Active,None
3NUU_A,Active,None
3NUX_A,Inactive,Inactive
3NUY_A,Active,None
3NW5_A,Inactive,Inactive
3NW6_A,Inactive,Inactive
3NW7_A,Inactive,Inactive
3NWW_A,Inactive,Inactive
3NX8_A,Active,Active
3NYN_A,Active,None
3NYN_B,Active,None
3NYO_A,Active,None
3NYO_B,Active,None
3NYV_A,Inactive,None
3NYX_A,Active,Inactive
3NZ0_A,Active,Active
3O0G_A,Active,Active
3O0G_B,Active,Active
3O17_A,Active,Active
3O17_B,Active,Active
3O23_A,Inactive,Inactive
3O2M_A,Active,Active
3O2M_B,Active,Active
3O50_A,Inactive,Inactive
3O50_B,Inactive,Inactive
3O51_A,Inactive,Inactive
3O71_A,Active,Active
3O7L_B,Active,None
3O7L_D,Active,None
3O8P_A,Inactive,Inactive
3O8T_A,Inactive,Inactive
3O8U_A,Inactive,Inactive
3O96_A,Inactive,Inactive
3OBG_A,Inactive,Inactive
3OBJ_A,Inactive,Inactive
3OC1_A,Inactive,Inactive
3OCB_A,Active,Active
3OCB_B,Active,Active
3OCG_A,Inactive,Inactive
3OCS_A,Inactive,Inactive
3OCT_A,Inactive,Inactive
3OD6_X,Active,Active
3ODY_X,Inactive,Inactive
3ODZ_X,Inactive,Inactive
3OEF_X,Inactive,Inactive
3OEZ_A,Inactive,Inactive
3OEZ_B,Inactive,Inactive
3OF0_A,Inactive,Inactive
3OF0_B,Inactive,Inactive
3OFM_A,Active,Active
3OG7_A,Inactive,Inactive
3OG7_B,Active,Inactive
3OHT_A,Inactive,Inactive
3OHT_B,Inactive,Inactive
3OMV_A,Inactive,Inactive
3OMV_B,Active,None
3OOG_A,Active,Active
3OOM_A,Active,None
3OP5_A,Active,Active
3OP5_B,Active,Active
3OP5_C,Active,None
3OP5_D,Active,None
3ORI_A,Inactive,None
3ORI_B,Inactive,None
3ORI_C,Inactive,None
3ORI_D,Inactive,None
3ORK_A,Inactive,None
3ORL_A,Inactive,None
3ORM_A,Inactive,None
3ORN_A,Inactive,Inactive
3ORO_A,Inactive,None
3ORP_A,Inactive,None
3ORT_A,Inactive,None
3ORX_A,Active,Active
3ORX_B,Active,Active
3ORX_C,Active,Active
3ORX_D,Active,Active
3ORX_E,Active,None
3ORX_F,Active,None
3ORX_G,Active,None
3ORX_H,Active,None
3ORZ_A,Active,None
3ORZ_B,Active,None
3ORZ_C,Active,None
3ORZ_D,Active,None
3OS3_A,Inactive,Inactive
3OT3_A,Active,Active
3OT8_A,Active,Active
3OTU_A,Active,Active
3OVV_A,Active,Active
3OW3_A,Active,Active
3OW4_A,Active,Active
3OW4_B,Active,Active
3OWJ_A,Active,Active
3OWK_A,Active,Active
3OWL_A,Active,Active
3OWP_A,Active,Active
3OXI_A,Inactive,Inactive
3OXT_A,Active,Active
3OXZ_A,Inactive,Inactive
3OY1_A,Inactive,Inactive
3OY3_A,Inactive,Inactive
3OY3_B,Inactive,Inactive
3OZ6_A,Active,None
3OZ6_B,Active,None
3P08_A,Inactive,Inactive
3P08_B,Inactive,Inactive
3P0M_A,Active,Active
3P1A_A,Active,None
3P23_A,Inactive,Inactive
3P23_B,Inactive,Inactive
3P23_C,Inactive,Inactive
3P23_D,Inactive,Inactive
3P4K_A,Inactive,Inactive
3P5K_A,Inactive,Inactive
3P78_A,Inactive,Inactive
3P79_A,Inactive,Inactive
3P7A_A,Inactive,Inactive
3P7B_A,Inactive,Inactive
3P7C_A,Inactive,Inactive
3P86_A,Inactive,None
3P86_B,Inactive,None
3P9J_A,Inactive,Inactive
3PA3_A,Active,Active
3PA4_A,Active,Active
3PA5_A,Active,Active
3PE1_A,Active,Active
3PE2_A,Active,Active
3PFQ_A,Active,Active
3PG1_A,Inactive,None
3PG3_A,Inactive,Inactive
3PIX_A,Inactive,Inactive
3PIY_A,Inactive,Inactive
3PIZ_A,Inactive,Inactive
3PJ1_A,Inactive,Inactive
3PJ2_A,Inactive,Inactive
3PJ3_A,Inactive,Inactive
3PJ8_A,Inactive,Inactive
3PJC_A,Active,Active
3PLS_A,Inactive,Inactive
3POO_A,Active,Active
3POZ_A,Inactive,Inactive
3PP0_A,Active,Active
3PP0_B,Active,Active
3PP1_A,Inactive,Inactive
3PPJ_A,Active,None
3PPJ_B,Active,None
3PPK_A,Active,None
3PPK_B,Active,None
3PPZ_A,Active,None
3PPZ_B,Active,None
3PRF_A,Inactive,Inactive
3PRF_B,Inactive,Inactive
3PRI_A,Active,None
3PRI_B,Active,None
3PSB_A,Active,None
3PSB_B,Active,None
3PSC_A,Active,None
3PSD_A,Active,None
3PSD_B,Active,None
3PTG_A,Inactive,Inactive
3PUP_A,Active,Active
3PUP_B,Active,Active
3PVB_A,Active,Active
3PVG_A,Active,Active
3PVU_A,Active,None
3PVW_A,Active,None
3PWD_A,Active,Active
3PWY_A,Active,None
3PXF_A,Inactive,Inactive
3PXK_A,Inactive,Inactive
3PXK_B,Inactive,Inactive
3PXQ_A,Inactive,Inactive
3PXR_A,Inactive,Inactive
3PXY_A,Inactive,Inactive
3PXZ_A,Inactive,Inactive
3PY0_A,Inactive,Inactive
3PY1_A,Inactive,Inactive
3PY3_A,Active,None
3PYY_A,Inactive,Inactive
3PYY_B,Inactive,Inactive
3PZE_A,Inactive,Inactive
3PZH_A,Active,Active
3Q04_A,Active,Active
3Q32_A,Active,Active
3Q32_B,Active,Active
3Q3B_A,Active,Active
3Q3B_B,Active,Active
3Q4C_A,Active,None
3Q4C_B,Active,None
3Q4T_A,Active,Active
3Q4T_B,Active,Active
3Q4U_A,Active,None
3Q4U_B,Active,None
3Q4U_C,Active,None
3Q4U_D,Active,None
3Q4Z_A,Active,None
3Q4Z_B,Inactive,Inactive
3Q52_A,Active,None
3Q53_A,Active,None
3Q5I_A,Active,None
3Q5Z_A,Inactive,None
3Q60_A,Inactive,None
3Q6U_A,Inactive,Inactive
3Q6W_A,Active,None
3Q96_A,Inactive,Inactive
3Q96_B,Inactive,Inactive
3Q9W_A,Active,Active
3Q9X_A,Active,Active
3Q9X_B,Active,Active
3Q9Y_A,Active,Active
3Q9Z_A,Active,Active
3Q9Z_B,Active,Active
3QA0_A,Active,Active
3QA0_B,Active,Active
3QA8_A,Inactive,Inactive
3QA8_B,Inactive,Inactive
3QA8_C,Inactive,Inactive
3QA8_D,Inactive,Inactive
3QA8_E,Inactive,Inactive
3QA8_F,Inactive,Inactive
3QA8_G,Inactive,Inactive
3QA8_H,Inactive,Inactive
3QAL_E,Active,Active
3QAM_E,Active,Active
3QBN_A,Inactive,Inactive
3QC4_A,Inactive,Inactive
3QC4_B,Inactive,Inactive
3QC9_A,Active,None
3QC9_B,Active,None
3QC9_C,Active,None
3QC9_D,Active,None
3QCQ_A,Active,None
3QCS_A,Active,None
3QCX_A,Active,None
3QCY_A,Active,None
3QD0_A,Active,None
3QD2_B,Active,None
3QD3_A,Active,None
3QD4_A,Active,None
3QF9_A,Active,Active
3QFV_A,Active,Active
3QFV_B,Active,Active
3QGW_A,Inactive,Inactive
3QGW_B,Inactive,Inactive
3QGY_A,Inactive,Inactive
3QGY_B,Inactive,Inactive
3QHR_A,Active,Active
3QHR_C,Active,Active
3QHW_A,Active,Active
3QHW_C,Active,Active
3QKK_A,Active,Active
3QKL_A,Active,Active
3QKM_A,Active,Active
3QL8_A,Inactive,Inactive
3QLF_A,Inactive,Inactive
3QLF_B,Inactive,Inactive
3QLG_A,Inactive,Inactive
3QLG_B,Inactive,None
3QQF_A,Inactive,Inactive
3QQG_A,Inactive,Inactive
3QQH_A,Inactive,Inactive
3QQJ_A,Inactive,Inactive
3QQK_A,Inactive,Inactive
3QQL_A,Inactive,Inactive
3QQU_A,Inactive,None
3QQU_B,Inactive,Inactive
3QQU_C,Inactive,None
3QQU_D,Inactive,Inactive
3QRI_A,Inactive,Inactive
3QRI_B,Inactive,Inactive
3QRJ_A,Inactive,Inactive
3QRJ_B,Inactive,Inactive
3QRK_A,Inactive,Inactive
3QRT_A,Inactive,Inactive
3QRU_A,Inactive,Inactive
3QTI_A,Inactive,Inactive
3QTI_B,Inactive,Inactive
3QTQ_A,Inactive,Inactive
3QTR_A,Inactive,Inactive
3QTS_A,Inactive,Inactive
3QTU_A,Inactive,Inactive
3QTW_A,Inactive,Inactive
3QTX_A,Inactive,Inactive
3QTZ_A,Inactive,Inactive
3QU0_A,Inactive,Inactive
3QUD_A,Inactive,Inactive
3QUE_A,Inactive,Inactive
3QUP_A,Inactive,Inactive
3QWJ_A,Inactive,Inactive
3QWK_A,Inactive,Inactive
3QX2_A,Inactive,Inactive
3QX4_A,Inactive,Inactive
3QXO_A,Inactive,Inactive
3QXP_A,Inactive,Inactive
3QYI_A,Active,Active
3QYW_A,Active,Active
3QYZ_A,Active,Active
3QZF_A,Inactive,Inactive
3QZG_A,Inactive,Inactive
3QZH_A,Inactive,Inactive
3QZI_A,Inactive,Inactive
3R00_A,Active,Active
3R01_A,Active,Active
3R02_A,Active,Active
3R04_A,Active,Active
3R0T_A,Active,Active
3R1N_A,Active,None
3R1Q_A,Inactive,Inactive
3R1S_A,Inactive,Inactive
3R1Y_A,Inactive,Inactive
3R21_A,Active,None
3R22_A,Inactive,Inactive
3R28_A,Inactive,Inactive
3R2B_A,Active,None
3R2B_B,Active,None
3R2B_C,Active,None
3R2B_D,Active,None
3R2B_E,Active,None
3R2B_F,Active,None
3R2B_G,Active,None
3R2B_H,Active,None
3R2B_I,Active,None
3R2B_J,Active,None
3R2B_K,Active,None
3R2B_L,Active,None
3R2Y_A,Active,None
3R30_A,Active,None
3R63_A,Active,Active
3R6X_A,Inactive,Inactive
3R71_A,Inactive,Inactive
3R73_A,Inactive,Inactive
3R7E_A,Inactive,Inactive
3R7I_A,Inactive,Inactive
3R7O_A,Active,None
3R7U_A,Inactive,Inactive
3R7V_A,Inactive,Inactive
3R7Y_A,Inactive,Inactive
3R83_A,Inactive,Inactive
3R8L_A,Inactive,Inactive
3R8M_A,Inactive,Inactive
3R8P_A,Inactive,Inactive
3R8U_A,Inactive,Inactive
3R8V_A,Inactive,Inactive
3R8Z_A,Inactive,Inactive
3R9D_A,Inactive,Inactive
3R9H_A,Inactive,Inactive
3R9N_A,Inactive,Inactive
3R9O_A,Inactive,Inactive
3RAH_A,Inactive,Inactive
3RAI_A,Inactive,Inactive
3RAK_A,Inactive,Inactive
3RAL_A,Inactive,Inactive
3RAW_A,Active,Active
3RAW_B,Active,Active
3RCD_A,Inactive,Inactive
3RCD_B,Inactive,Inactive
3RCD_C,Inactive,Inactive
3RCD_D,Inactive,Inactive
3RCJ_A,Active,Active
3REP_A,Inactive,None
3RGF_A,Inactive,Inactive
3RHK_A,Inactive,Inactive
3RHK_B,Inactive,Inactive
3RHX_A,Inactive,None
3RHX_B,Inactive,None
3RI1_A,Active,Active
3RI1_B,Active,Active
3RIN_A,Inactive,None
3RJC_A,Inactive,Inactive
3RK5_A,Inactive,Inactive
3RK7_A,Inactive,Inactive
3RK9_A,Inactive,Inactive
3RKB_A,Inactive,Inactive
3RM6_A,Inactive,Inactive
3RM7_A,Inactive,Inactive
3RMF_A,Inactive,Inactive
3RNI_A,Inactive,Inactive
3RNY_A,Active,None
3RNY_B,Active,None
3ROC_A,Inactive,Inactive
3ROY_A,Inactive,Inactive
3RP9_A,Inactive,None
3RPO_A,Inactive,Inactive
3RPR_A,Inactive,Inactive
3RPS_A,Active,Active
3RPS_B,Active,Active
3RPV_A,Inactive,Inactive
3RPY_A,Inactive,Inactive
3RTP_A,Inactive,Inactive
3RVG_A,Active,None
3RWP_A,Active,None
3RWQ_A,Active,Active
3RZB_A,Inactive,Inactive
3RZF_A,Active,Inactive
3S00_A,Inactive,Inactive
3S0O_A,Inactive,Inactive
3S1H_A,Inactive,Inactive
3S2P_A,Inactive,Inactive
3S3I_A,Inactive,None
3S4Q_A,Inactive,Inactive
3S95_A,Active,None
3S95_B,Active,None
3SA0_A,Active,Active
3SAY_A,Active,Active
3SAY_B,Active,Active
3SC1_A,Active,None
3SD0_A,Active,Active
3SD0_B,Active,Active
3SDJ_A,Active,None
3SDJ_B,Active,None
3SDJ_C,Active,None
3SDJ_D,Active,None
3SDJ_E,Active,None
3SDJ_F,Active,None
3SDJ_G,Active,None
3SDJ_H,Active,None
3SDJ_I,Active,None
3SDJ_J,Active,None
3SDJ_K,Active,None
3SDJ_L,Active,None
3SDJ_M,Active,None
3SDJ_N,Active,None
3SDM_A,Active,None
3SDM_B,Active,None
3SDM_C,Active,None
3SDM_D,Active,None
